[DEBUG] 2021-03-02 14:45:27.064 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@4bef0fe3
[DEBUG] 2021-03-02 14:45:27.067 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@55b5f5d2
[DEBUG] 2021-03-02 14:45:27.067 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@55b5f5d2
[DEBUG] 2021-03-02 14:45:27.070 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@16ecee1
[DEBUG] 2021-03-02 14:45:27.071 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@16ecee1
[DEBUG] 2021-03-02 14:45:27.073 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@160ac7fb
[DEBUG] 2021-03-02 14:45:27.074 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@160ac7fb
[DEBUG] 2021-03-02 14:45:27.076 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@3f053c80
[DEBUG] 2021-03-02 14:45:27.077 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@3f053c80
[DEBUG] 2021-03-02 14:45:27.082 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7894f09b
[DEBUG] 2021-03-02 14:45:27.082 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7894f09b
[DEBUG] 2021-03-02 14:45:27.093 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@60f7cc1d
[DEBUG] 2021-03-02 14:45:27.093 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@60f7cc1d
[DEBUG] 2021-03-02 14:45:27.095 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@207ea13
[DEBUG] 2021-03-02 14:45:27.095 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@207ea13
[DEBUG] 2021-03-02 14:45:27.098 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@56c9bbd8
[DEBUG] 2021-03-02 14:45:27.098 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@56c9bbd8
[DEBUG] 2021-03-02 14:45:27.098 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@56c9bbd8
[DEBUG] 2021-03-02 14:45:27.101 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@f79a760
[DEBUG] 2021-03-02 14:45:27.103 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@5b057c8c
[DEBUG] 2021-03-02 14:45:27.103 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@5b057c8c
[DEBUG] 2021-03-02 14:45:27.103 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@5b057c8c
[DEBUG] 2021-03-02 14:45:27.105 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@5b7ea70d
[DEBUG] 2021-03-02 14:45:27.106 [main] BasicTypeRegistry - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@4f2c9ba6
[DEBUG] 2021-03-02 14:45:27.107 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@4c37b5b
[DEBUG] 2021-03-02 14:45:27.107 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@4c37b5b
[DEBUG] 2021-03-02 14:45:27.110 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@3c435123
[DEBUG] 2021-03-02 14:45:27.110 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3c435123
[DEBUG] 2021-03-02 14:45:27.111 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@78a287ed
[DEBUG] 2021-03-02 14:45:27.112 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@78a287ed
[DEBUG] 2021-03-02 14:45:27.113 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@485a3466
[DEBUG] 2021-03-02 14:45:27.113 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@485a3466
[DEBUG] 2021-03-02 14:45:27.114 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@5ad10c1a
[DEBUG] 2021-03-02 14:45:27.114 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@5ad10c1a
[DEBUG] 2021-03-02 14:45:27.115 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@75e01201
[DEBUG] 2021-03-02 14:45:27.116 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@3829ac1
[DEBUG] 2021-03-02 14:45:27.116 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@3829ac1
[DEBUG] 2021-03-02 14:45:27.116 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@3829ac1
[DEBUG] 2021-03-02 14:45:27.118 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@30990c1b
[DEBUG] 2021-03-02 14:45:27.118 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@30990c1b
[DEBUG] 2021-03-02 14:45:27.118 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@30990c1b
[DEBUG] 2021-03-02 14:45:27.120 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@6e1d8f9e
[DEBUG] 2021-03-02 14:45:27.121 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@4f071df8
[DEBUG] 2021-03-02 14:45:27.122 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@5d018107
[DEBUG] 2021-03-02 14:45:27.122 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@5d018107
[DEBUG] 2021-03-02 14:45:27.123 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@5d018107
[DEBUG] 2021-03-02 14:45:27.125 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@38be305c
[DEBUG] 2021-03-02 14:45:27.126 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@38be305c
[DEBUG] 2021-03-02 14:45:27.126 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@38be305c
[DEBUG] 2021-03-02 14:45:27.127 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@3234f74e
[DEBUG] 2021-03-02 14:45:27.128 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@40e10ff8
[DEBUG] 2021-03-02 14:45:27.130 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@a5b0b86
[DEBUG] 2021-03-02 14:45:27.131 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@a5b0b86
[DEBUG] 2021-03-02 14:45:27.131 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@73ff4fae
[DEBUG] 2021-03-02 14:45:27.133 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@1433046b
[DEBUG] 2021-03-02 14:45:27.133 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@1433046b
[DEBUG] 2021-03-02 14:45:27.135 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@61bcd567
[DEBUG] 2021-03-02 14:45:27.135 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@61bcd567
[DEBUG] 2021-03-02 14:45:27.136 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@15c25153
[DEBUG] 2021-03-02 14:45:27.137 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@56276db8
[DEBUG] 2021-03-02 14:45:27.139 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@20b5f2ac
[DEBUG] 2021-03-02 14:45:27.157 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@878452d
[DEBUG] 2021-03-02 14:45:27.157 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@878452d
[DEBUG] 2021-03-02 14:45:27.158 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@83298d7
[DEBUG] 2021-03-02 14:45:27.159 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@42a9e5d1
[DEBUG] 2021-03-02 14:45:27.159 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@5b080f3a
[DEBUG] 2021-03-02 14:45:27.159 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@773cbf4f
[DEBUG] 2021-03-02 14:45:27.160 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@6b54655f
[DEBUG] 2021-03-02 14:45:27.160 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@665e9289
[DEBUG] 2021-03-02 14:45:27.160 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@7d3430a7
[DEBUG] 2021-03-02 14:45:27.160 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@6f603e89
[DEBUG] 2021-03-02 14:45:27.204 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2021-03-02 14:45:27.205 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2021-03-02 14:45:27.206 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-03-02 14:45:27.206 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2021-03-02 14:45:27.207 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2021-03-02 14:45:27.208 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2021-03-02 14:45:27.209 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2021-03-02 14:45:27.211 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-03-02 14:45:27.212 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2021-03-02 14:45:27.213 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2021-03-02 14:45:27.214 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2021-03-02 14:45:27.214 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2021-03-02 14:45:27.214 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2021-03-02 14:45:27.215 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[WARN ] 2021-03-02 14:45:27.221 [main] pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
[INFO ] 2021-03-02 14:45:27.285 [main] pooling - HHH10001005: using driver [org.postgresql.Driver] at URL [jdbc:postgresql://localhost:5432/todolist]
[INFO ] 2021-03-02 14:45:27.286 [main] pooling - HHH10001001: Connection properties: {user=jlacl, password=jlacl}
[INFO ] 2021-03-02 14:45:27.286 [main] pooling - HHH10001003: Autocommit mode: false
[DEBUG] 2021-03-02 14:45:27.291 [main] DriverManagerConnectionProviderImpl - Initializing Connection pool with 1 Connections
[INFO ] 2021-03-02 14:45:27.291 [main] DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 1 (min=1)
[DEBUG] 2021-03-02 14:45:28.596 [main] JdbcEnvironmentInitiator - Database ->
       name : PostgreSQL
    version : 10.16 (Ubuntu 10.16-0ubuntu0.18.04.1)
      major : 10
      minor : 16
[DEBUG] 2021-03-02 14:45:28.596 [main] JdbcEnvironmentInitiator - Driver ->
       name : PostgreSQL JDBC Driver
    version : 42.2.16
      major : 42
      minor : 2
[DEBUG] 2021-03-02 14:45:28.597 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2021-03-02 14:45:28.674 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
[DEBUG] 2021-03-02 14:45:28.700 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
[DEBUG] 2021-03-02 14:45:28.856 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2021-03-02 14:45:28.859 [main] BasicTypeRegistry - Adding type registration pg-uuid -> org.hibernate.type.PostgresUUIDType@7ed9ae94
[DEBUG] 2021-03-02 14:45:28.859 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.PostgresUUIDType@7ed9ae94
[DEBUG] 2021-03-02 14:45:28.859 [main] BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@5ad10c1a
[DEBUG] 2021-03-02 14:45:28.862 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@61e45f87] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@7c9b78e3]
[DEBUG] 2021-03-02 14:45:29.020 [main] ClassLoaderAccessImpl - Not known whether passed class name [parser.Entry] is safe
[DEBUG] 2021-03-02 14:45:29.020 [main] ClassLoaderAccessImpl - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : parser.Entry
[DEBUG] 2021-03-02 14:45:29.038 [main] AnnotationBinder - Binding entity from annotated class: parser.Entry
[DEBUG] 2021-03-02 14:45:29.090 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2021-03-02 14:45:29.099 [main] EntityBinder - Import with entity name Entry
[DEBUG] 2021-03-02 14:45:29.107 [main] EntityBinder - Bind entity parser.Entry on table entries
[DEBUG] 2021-03-02 14:45:29.175 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(entries), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-03-02 14:45:29.178 [main] ClassLoaderAccessImpl - Not known whether passed class name [int] is safe
[DEBUG] 2021-03-02 14:45:29.178 [main] ClassLoaderAccessImpl - No temp ClassLoader provided; using live ClassLoader for loading potentially unsafe class : int
[DEBUG] 2021-03-02 14:45:29.179 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2021-03-02 14:45:29.182 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [parser.Entry:id]
[DEBUG] 2021-03-02 14:45:29.185 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2021-03-02 14:45:29.189 [main] PropertyBinder - Building property id
[DEBUG] 2021-03-02 14:45:29.193 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
[DEBUG] 2021-03-02 14:45:29.194 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(entries), mappingColumn=field1, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-03-02 14:45:29.195 [main] PropertyBinder - MetadataSourceProcessor property field1 with lazy=false
[DEBUG] 2021-03-02 14:45:29.195 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [parser.Entry:field1]
[DEBUG] 2021-03-02 14:45:29.195 [main] SimpleValueBinder - building SimpleValue for field1
[DEBUG] 2021-03-02 14:45:29.195 [main] PropertyBinder - Building property field1
[DEBUG] 2021-03-02 14:45:29.196 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(entries), mappingColumn=field2, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-03-02 14:45:29.196 [main] PropertyBinder - MetadataSourceProcessor property field2 with lazy=false
[DEBUG] 2021-03-02 14:45:29.197 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [parser.Entry:field2]
[DEBUG] 2021-03-02 14:45:29.197 [main] SimpleValueBinder - building SimpleValue for field2
[DEBUG] 2021-03-02 14:45:29.197 [main] PropertyBinder - Building property field2
[DEBUG] 2021-03-02 14:45:29.198 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(entries), mappingColumn=field3, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-03-02 14:45:29.198 [main] PropertyBinder - MetadataSourceProcessor property field3 with lazy=false
[DEBUG] 2021-03-02 14:45:29.198 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [parser.Entry:field3]
[DEBUG] 2021-03-02 14:45:29.199 [main] SimpleValueBinder - building SimpleValue for field3
[DEBUG] 2021-03-02 14:45:29.199 [main] PropertyBinder - Building property field3
[DEBUG] 2021-03-02 14:45:29.199 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(entries), mappingColumn=field4, insertable=true, updatable=true, unique=false}
[DEBUG] 2021-03-02 14:45:29.199 [main] PropertyBinder - MetadataSourceProcessor property field4 with lazy=false
[DEBUG] 2021-03-02 14:45:29.200 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [parser.Entry:field4]
